ï»¿userName,content,at,score
Mulyadi Yadi,"['promo', 'nya', 'hilang']",24/01/2024 22:51,5
Ipin Ipin,"['makasihh', 'indosat', 'kartu', 'main', 'game', 'lancarr', 'guna', 'semartfren', 'kasih', 'bintang', '5', 'indosatt', 'gerat', 'kouta', 'isthebest']",13/01/2024 06:08,5
Moeni Btg,['kerennnn'],29/01/2024 01:27,1
Faisal Muhamad,"['coba', 'login', 'susah', 'tidak', 'pakai', 'indosat']",26/01/2024 13:25,1
Eko Prastiyo,['bagus'],28/01/2024 01:03,5
Sandy Gunawan,"['kasih', 'bintang', '3', 'akhir2', 'sinyal', 'nya', 'ganggu', 'sinyal', 'nya', 'lelet']",13/01/2024 19:42,3
Ronaldo 7,"['kartu', 'jaring', 'ganggu', 'tidak']",28/01/2024 13:38,1
Nama Saya,"['baru', 'baru', 'aneh', 'laku', 'beli', 'paket', 'indosat', '7gb', 'tidak', 'masuk', 'riwayat', 'transaksi', 'tidak', 'masuk', 'kuota', 'nya', 'pulsa', 'potong']",15/01/2024 14:26,1
Alok Tzy,"['jaring', 'tidak ada uang', 'bagus', 'bagus', 'lelet', 'drop', '2', 'jaring', 'gaguna']",17/01/2024 14:51,1
RHESDY Adi mamonto Ending,"['mantap', 'im3']",19/01/2024 06:47,5
Kecel Kiwa,"['indosat', 'malam', 'semarang', 'ngojekgara2', 'error', 'mlh', 'tidak', 'uang', 'sekaliparahkecewa']",26/01/2024 13:36,1
Dimas Rakaa,"['jaring', 'sinting', 'beli', 'paket', 'mahal', 'mahal', 'jaring', 'kotor', 'hilang', 'hilang', 'najis', 'sesal', 'saran', 'pakai', 'kartu', 'sumpah', 'allah', 'sesal', 'banget']",20/01/2024 11:23,1
mochamad Roflin,"['error', 'tidak', 'buka', 'kirim', 'kode', 'kocak', 'banget']",17/01/2024 05:59,1
Hanna Endra,"['sinyal', 'hilang']",26/01/2024 13:53,2
cahya wiguna,"['paket', 'data', 'beli', 'harganyasinyal', 'putus', 'melulu', 'jaga', 'kwalitas']",15/01/2024 01:08,1
Afghi Ghi,['ok'],22/01/2024 00:48,2
Muhamad Delpansyah,[],12/01/2024 14:52,1
Adzkia Davina,"['wajib', 'ganti', 'provider', 'sinyal', 'nya', 'tidak', 'bagus']",29/01/2024 04:20,1
Laut Biru,"['murah', 'paket', 'nya']",19/01/2024 14:11,5
Asep Putra,"['mantap', 'fokonya']",24/01/2024 16:09,5
Yusufhendri Hendri,[],23/01/2024 00:24,5
Eden,['mantap'],28/01/2024 01:59,5
05 . AldiBagoesR.R,"['respon', 'cs', 'bagus', 'cepat', 'sayang', 'aplikasi', 'sungguh', 'tidak', 'nyaman', 'error', 'tidak jelas', 'tidak bisa', 'buka', 'min', 'senang', 'responnya', 'cepat']",21/01/2024 14:57,5
Rupiah Slamet,"['aplikasi', 'bagus', 'banget', 'tukar', 'poin', 'dg', 'kuota']",31/01/2024 11:56,5
Wahyuni,"['m3', 'jaring', 'lelet', 'bangetapa', 'buka', 'video', 'yutube', 'adeeeh', 'lelet', 'bangetpaketan', 'cepat', 'banget', 'habis', 'banget', 'sedot', 'data']",30/01/2024 13:24,1
Corniee,"['harga', 'paket', 'internet', 'nya', 'mahal']",18/01/2024 12:25,1
budi setyawan,['bagus'],14/01/2024 23:00,5
Mutia Anggraini,"['tidak', 'daftar', 'ucan', 'kecewa', 'aplikasi']",18/01/2024 12:20,1
Yovani Orlando,"['lambat', 'indosat']",23/01/2024 00:39,1
Ari Lukman,"['ganggu', 'melulu', 'ganggu', 'melulu', 'na', 'si', 'kartu', 'tri']",22/01/2024 22:35,1
Jakk (Jaka),"['aplikasi', 'cacat']",31/01/2024 15:01,1
hilman humaidi,['mantap'],31/01/2024 04:56,5
Asep Setiawan,['bagus'],30/01/2024 04:33,5
Yadi Widodo,"['fitur', 'pulsa', 'darurat', 'g', 'dipake', 'bunga', 'tinggggiiiiiiiii', 'kya', 'panjat', 'pinang']",29/01/2024 23:04,1
Samuel Amita,"['kartu', 'idiot', 'ujan', 'tidak', 'lag', 'bngst']",22/01/2024 18:10,1
Wahyu Firmansyah,"['heran', 'guacostumer', 'service', 'im3', 'gak', 'benersetiap', 'komplain', 'sulit', 'komplain', 'selesai', 'malah', 'selesaisering', 'top', 'up', 'pulsa', 'gak', 'impoin', 'member', 'platinumintinya', 'konsumen', 'service', 'im3', 'gak', 'puas']",20/01/2024 12:59,2
Raka Rangga,"['sinyal', 'buruk', 'beli', 'kouta', 'sinyal', 'buruk', 'kecewa']",25/01/2024 16:10,1
Ryan Claw,"['tidak', 'log', 'masuk', 'pakai', 'jaring', 'wifi']",13/01/2024 17:55,1
Fahri Wijanarko,"['bagus', 'kerja']",12/01/2024 14:24,5
Chairul Anwar,['bagus'],20/01/2024 14:01,5
rudi ikhwanto,[],29/01/2024 06:12,4
ansar suaib,"['moga', 'murah', 'paket', 'awet']",30/01/2024 05:31,4
h4di,"['bikin', 'ribet', 'menu', 'aplikasi', 'nya', 'myim3', 'bonus', 'kuota', 'tidak']",24/01/2024 02:37,3
abdul azis,"['gara', 'sinyal', '3', 'rusak', 'sinyal']",29/01/2024 14:03,1
Rahardian User,['ok'],22/01/2024 08:39,5
Tika Ayunda,"['indosat', 'mantap']",31/01/2024 22:50,5
Yudi Boi,['puas'],12/01/2024 05:32,4
Khofifah khoerunnisa112,"['tidak', 'nyaman', 'banget', 'aplikasi', 'tidak', 'buka', 'banget', 'baru']",26/01/2024 13:46,1
Achiel Aje,['bagus'],21/01/2024 17:35,5
Muhammad rama ardya pradana,"['beli', 'tidak', 'sihkalau', 'beli', 'bayar', 'gagalkalau', 'ganiat', 'jual', 'iya', 'gausah', 'jual']",16/01/2024 10:17,1
Endi Nurosid,"['bagus', 'thks']",11/01/2024 19:21,5
Putra Hidayah,['baru'],19/01/2024 07:57,5
AGUS SULISTIONO,['lelet'],14/01/2024 13:38,1
Mukmien,"['ok', 'bagus', 'sinyal', 'tempat', 'agak', 'dukung', 'kadang', 'hilang', 'kadang']",31/01/2024 11:05,4
Budy Sutsen,['ok'],17/01/2024 06:32,5
Dian Jm,['lelet'],12/01/2024 13:23,1
Vinensia Orowala,"['bagus', 'aplikasi']",30/01/2024 02:19,4
Syarif Abdurrahman,"['m3', 'daerah', 'bandung', 'ganggu', 'lancar']",21/01/2024 14:10,1
frenky singgih kebin,"['ayo', 'pasang', 'myim3', 'dapetin', 'bonus', 'bulanya', 'terima kasih', 'myim3', 'kasih', 'bintang', '5']",12/01/2024 13:10,5
Nugroho Wisnu Mukti,[],27/01/2024 16:42,5
Sarimin Mimin,[],12/01/2024 16:48,4
Wiwit ariyani,"['fery', 'bagus']",27/01/2024 11:35,5
Zikri Uye,"['indosat', 'jaring', 'dilancarin', 'main', 'ml', 'ngeleh', 'bgtmaen', 'ml', 'lelet', 'mlu', 'pke', 'indosat', 'g', 'jls', 'gmn', 'si', 'indosatharga', 'mahal', 'kualitas', 'jaring', 'murah']",22/01/2024 14:14,1
Yos junianto,"['mantab', 'lengkap', 'trimaksih']",17/01/2024 13:46,5
lihat video,"['heran', 'indosat', 'g', 'baik', 'menurunsinyal', 'jelekinternet', 'jelekbyk', 'sms', 'spam', 'habis', 'pulsaancur', 'parah', 'jaring', 'internet', 'buruk', 'indonesiajamn', '5g', 'cepat', 'internet', 'kbdetikjual', 'parah', 'enek', 'internet', 'lama2mending', 'pegang', 'asing', 'maju']",27/01/2024 15:31,1
Komang T,"['tingkat', 'cepat']",28/01/2024 16:46,5
pero meksen,"['pulsa', 'tidak', 'masukdi', 'aplikasi', 'dana', 'hasil', 'tidak', 'pulsa', 'masuk', 'myim3', 'dana', 'tidak', 'percaya', 'kuota', 'mahal', 'semenjak', 'indosat', 'jual', 'china', 'direktur', 'china', 'pelit', 'konsumen']",28/01/2024 16:59,1
Asep S,['bgaus'],16/01/2024 15:58,5
Padliajhori,['tolol'],26/01/2024 12:45,1
Abdul Latif,['bagus'],12/01/2024 05:14,5
samudra jaya artha,[],24/01/2024 12:25,4
Alunk Angga,['bagus'],11/01/2024 06:17,5
Efrido Carlos Fransisco,"['mohon', 'baik', 'sering', 'error', 'aplikasi', 'guna', 'tidak', 'buka']",18/01/2024 12:37,1
Yusril M Pangestu,"['terima kasih', 'indosat', 'berkat', 'provider', 'hilang', 'hasil', 'koneksi', 'data', 'buruk', 'ngomong', 'indosat', 'baik2', 'kualitas', 'internet', 'buruk', 'rugi', 'beli', 'kuota', 'gin', 'lebih baik', 'langgan', 'wifi', 'gausah', 'pakai', 'promo2', 'internet', 'lancar', 'baik', 'teknisi', 'jaring', 'karyawan', 'kait', 'minimal', 'kasih', 'informasi', 'ganggu', 'tutup', 'mata', 'provider', 'sigap', 'gak', 'profesional']",19/01/2024 12:16,1
Yuri Sasuga,"['sinyal', 'merah', 'main', 'game', 'tidak', 'benerin', 'tower', 'nya', 'roboh', 'hadeh']",17/01/2024 13:49,1
Rico Tampaty,['ok'],10/01/2024 03:13,5
Wawan Gaming Fun,"['aplilasi', 'buruk', 'error', 'nya']",16/01/2024 00:08,1
Joko Samudro,['baik'],25/01/2024 22:57,2
ZEA RIBBY,['wokee'],14/01/2024 19:35,5
Putu Tida Risbonaka,"['sinyal', 'indosat', 'sampaah', 'banget']",14/01/2024 16:10,1
Fauzan Daniswara S,['ganggu'],24/01/2024 12:13,1
Bayu Gans,"['pulsa', 'kmn', 'ajim', 'hilang']",19/01/2024 23:50,1
Rizky Maul,['annjjjjj'],18/01/2024 04:59,1
Yuda Yud,"['indosat', 'memang', 'kartu', 'bagus']",25/01/2024 10:55,5
Siti Munawarah,"['telpon', 'im3', 'tri']",25/01/2024 11:59,4
Muhammad Alvaro,"['proses', 'lambat', 'beli', 'paket', 'data', 'sampae', 'pulsa', 'sedot', 'ulang', 'ulangtapi', 'proses', 'paket', 'mahal', 'sinyal', 'jelek']",12/01/2024 06:46,2
Ekosyamsianto Syamsi,"['cek', 'kuota', 'tidak', 'google', 'tidak', 'ko', 'gin', 'iya']",22/01/2024 12:59,2
Mamahh Wafi,"['gak', 'erti', 'deh', 'gak', 'beli', 'paket', 'internet', 'aplikasi']",12/01/2024 05:34,1
Dann Syahri,"['paket', 'internet', '5rb', 'tidak']",12/01/2024 12:44,1
Kapten_Oleng02,"['kesini', 'paket', 'mahal', 'ganggu']",26/01/2024 13:58,1
Nim Nim,"['indosat', 'mahal', 'kartu', 'kan', 'gratis', 'min', 'biar', 'semangat', 'pakai', 'indosat', 'nya']",24/01/2024 09:38,5
Bayu BCM,"['internet', 'hilangdatanya', 'ngalain', 'tidak', 'internetnyaterus', 'cobak', 'pesan', 'nomor', 'my3', 'whatsapp', 'tulisannyatidak', 'verifikasi', 'nomor', 'kamuini', 'iya']",26/01/2024 13:49,1
Thon Badawi,"['okeh', 'mantap']",29/01/2024 08:15,5
Ferdi Adityaferando,"['bagus', 'mem', 'bantu']",29/01/2024 08:51,5
Imelda Sapitri,"['im3', 'ok']",10/01/2024 16:28,4
BADAI PESISIR NEW,"['indosat', 'tidak', 'sinyal', '4g', 'tidak', 'guna']",27/01/2024 10:44,2
Oppah Ramadhan syt,"['mudah', 'lihat', 'kuota', 'internet']",28/01/2024 23:36,4
ibnu malik,"['gamau', 'beli', 'kartu', 'indosat', 'beli', 'pulsa', '25000', 'tidak', 'telepon', 'tidak', 'ngidupin', 'data', 'tidak', '5', 'menit', 'kurang', 'astaga']",15/01/2024 13:30,1
Rahmat Ardiyan,"['mahal', 'mahal', 'banget', 'gila', 'operator', 'belah', 'mungkin', 'uda', 'kuota', 'gede', 'kecil', 'banget', 'lebih baik', 'sinyal', 'bagus', 'mah', 'kecewa', 'si', 'harga', 'tidak', 'otak', 'lebih baik', 'pindah', 'si']",24/01/2024 12:03,1
Sahir Naba,['mantap'],21/01/2024 13:15,5
Megawati Sinaga,[],24/01/2024 04:44,5
Pellunk Coy,"['gila', 'sihhh', 'sinyal', 'burik', 'harga', 'gak', 'ramah', 'nya', 'lambung', 'coyy', 'paket', 'hilang', 'sebal']",26/01/2024 16:07,1
Qifin Trastu,"['tidak', 'suka', 'potong', 'pulsa', 'pemberitahuan', 'izin', 'kali', 'kali', 'saran', 'aplikasi', 'kaya', 'gin', 'tuh', 'kasih', 'informasi', 'pulsa', 'potong', 'paket', 'data', 'pulsa', 'potong', 'jelas', 'informasi', 'apa']",14/01/2024 08:27,1
Teddy cs,"['indosat', 'cikarang', 'delta', 'mas', 'jaring', 'parah', 'konsumen', 'indosat', 'th', '2010', 'kecewa', 'paksa', 'pindah']",23/01/2024 13:08,1
Masudiok Masudiok,"['sumpah', 'sesal', 'ngapdate', 'aplikasi', 'indosat', 'lelet', 'payah']",24/01/2024 10:34,1
Risqiani Alfrisya,"['bantu', 'my', 'im3', 'lihat', 'sisa', 'pulsa', 'kouta', 'mudah', 'pilih', 'paket']",18/01/2024 14:57,5
Yien,"['notif', 'kuota', 'habis', 'pas', 'cek', 'aplikasi', 'im3', '1gb', 'kuota', 'utama', 'si', 'indosat']",12/01/2024 08:03,1
Bambang Irawan,"['1m3', 'terbaikcuma', 'sinyal', 'kuat', 'daerah', 'desa']",30/01/2024 13:11,5
nurdian syah,"['hadeuh', 'sinyal', 'jelek']",29/01/2024 15:56,1
Member01 Gmail. Com,"['mudah', 'beli', 'kuota', 'aplikasi']",19/01/2024 02:41,4
Reza Ramatdani,[],18/01/2024 09:35,1
P Bb,"['bagus', 'beli', 'kuota', 'banget']",18/01/2024 13:38,4
Hanson Philip,"['jaring', 'ganggu']",28/01/2024 13:01,1
Yogi Prasetio,['mudah'],17/01/2024 12:05,5
Naziri Nazir,"['kecewa', '5', 'pakai', 'indosat', 'bukan', 'murah', 'mahal', 'taiiiik']",26/01/2024 19:53,1
WD,"['sinyal', 'ilang2', 'tidak']",29/01/2024 23:12,1
Junaidi Hendarwanto,"['sinyal', 'susah', 'tidak', 'nentu', 'harga', 'paket', 'data', 'nya', 'mahal', 'boros', 'pakai', 'situ', 'usaha', 'ngrampok', 'pt', 'indosatyg', 'benar', 'harga', 'kualitas', 'puas', 'konsumen', 'layan', 'baik', 'ganggu', 'jaring', 'benar']",21/01/2024 09:37,1
Onowae Wes,"['suka', 'lelet', 'buka']",11/01/2024 15:11,4
Muhammad Syawal,['puas'],19/01/2024 15:22,5
Kang Viray,"['gak', 'jelasssss']",30/01/2024 22:44,1
Cahyo eko setyawan,"['area', 'tangerang', 'buruk', 'banget', 'gguan', 'dijam2', 'pnting', 'jelang', 'mlmkyknya', 'bner2', 'pindah', 'operator']",26/01/2024 12:28,1
erna agustiani,"['maaf', 'q', 'kurang', 'bintang', 'sering', 'baru', 'sinyal', 'ganggu', 'paket', 'mahal']",30/01/2024 03:49,3
Ilyas Arf,['mantap'],19/01/2024 15:23,5
Nur Habibah,"['ganggu', 'error', 'bikin', 'tidak', 'nyaman']",13/01/2024 11:24,1
Efull,"['isi', 'pulsa', '20k', 'sim', '1', 'pulsa', 'kuras', '12k', 'tidak', 'hutan', 'sos', 'buka', 'yt', 'pke', 'sim', '2', 'semenjak', 'baru', 'males', 'pakai', 'aplikasi']",15/01/2024 16:48,1
Kifah Ibad,"['semenjak', 'baru', 'kocak', 'performa', 'jaring', 'lelet', 'transaksi', 'hebat', 'baru']",30/01/2024 12:10,1
"pur, HFN",[],24/01/2024 12:48,5
Vira Fia,"['sinyal', 'idosat', 'jelek', 'gak', 'kayak', 'lagisama', 'data', 'onof', 'kan', 'jelek', 'sinyal', 'm3']",15/01/2024 13:34,1
Herna Sitinuraeni,"['lamjidieb', 'jdkoa', 'kakak', 'wka']",14/01/2024 11:31,4
Bili Wili,"['terima', 'kasih']",12/01/2024 14:40,1
Sahabat Arosbaya,"['top', 'up', '355', 'diamond', 'ff', 'tidak', 'masuk', 'ngerugiin', 'tidak', 'aplikasi', 'haram']",23/01/2024 07:27,1
Hijrotul Ulya,"['layan', 'kacau', 'pulsa', 'potong']",11/01/2024 15:48,1
Ahmad Mauludi,"['sampah', 'lelet', 'parah', 'tidak jelas', 'bngt', 'sumpah', 'putus', 'sinyal']",11/01/2024 11:27,1
Tezar Marsono,"['nyedotin', 'pulsa', 'mulu', 'tau2', 'habis', 'ajatolol']",15/01/2024 15:53,1
ABDUL RAHIM ABDUL RAHIM,['puas'],20/01/2024 06:41,3
Muhammad Azlan,"['tidak', 'masalah', 'aplikasi', 'kartu', 'jeleksengaja', 'kasih', 'bintang', '1', 'bintang', '0', 'kasih', 'jaring', 'pas', 'dipake', 'gabagus', 'bangetpadahal', 'konsumen', 'setia', 'beli', 'pulsa', 'isi', 'data', 'kartu', 'tpai', 'tetep', 'pas', 'pakai', 'jaringanna', 'asv', 'tidak', 'dukung', 'daerah', 'desa', 'jaring', 'bagus', 'jam', 'jam', 'ajajelek', 'banget', 'indosat', 'cuihselamat', 'menang', 'nominasi', 'jaring', 'sampah']",21/01/2024 11:54,1
aditya sofyan,"['sinyal', 'indosat', 'jeleksering', 'sinyal', 'internetnyakadang', 'sinyal', 'tidak', 'internetada', 'internet', 'tidak', 'jalan']",30/01/2024 13:59,1
yayat setiana,['oke'],15/01/2024 04:07,4
Diko,"['jaring', 'buruk', 'ganggu', 'sesal', 'pakai', 'im3']",26/01/2024 13:13,1
Ade Crp,"['anjirr', 'kadang', 'lelet', 'kadang', 'lancar', 'unduh', '100kb', 'anjirr']",17/01/2024 06:55,3
"Ma,rup Siu123","['baru', 'buruk', 'benar', 'cek', 'kuota', '2gb', 'tidak', 'indosat']",24/01/2024 23:27,1
Dedi Candra,"['isi', 'pulsa', 'regis', 'hade']",16/01/2024 08:42,1
Batu 556,"['malam', 'lelet', 'iya']",29/01/2024 13:38,3
Indra Adhitya,['bagus'],18/01/2024 04:53,5
Abdan Ramdani,"['kecewa', 'banget', 'sii', 'skrg2', 'makenyasumpah', 'yaa', 'jaring', 'jalan', 'manteng', 'gunungpantai', 'dimn', 'ttp', 'oke', 'jarang', 'lemotnyabeli', 'kuota', 'dalem', 'aplikasi', 'gampang', 'pilihnyaga', 'lelet', 'jugapembayaran', 'cepetkuotanya', 'murah2best', 'inimah', 'bintang', '10', 'kasih', '1000hahahano', 'nya', 'cantik2', 'gampang', 'diinget', 'rekomendasi', 'banget', 'deh', 'guna', 'seluler', 'seluruh', 'indonesiagood', 'kerja']",15/01/2024 14:49,5
falah polo,"['jaring', 'tamvah', 'lemottttttttttt']",12/01/2024 08:38,1
Prilly Pasaribu,"['jaring', '1m3', 'tidak', 'lelet', 'bikin', 'kesal', 'banting', 'seluler', 'main', 'game', 'bikin', 'darah', 'mkanya', 'provider', 'tidak', 'ubah', 'lapor', 'cs', 'maaf', 'baik', 'kendala', '3', 'baik', 'babbbi']",28/01/2024 12:13,1
Dinda Dinda,"['murah', 'hemat', 'hhhhjjjjjjjjhhh']",18/01/2024 23:15,5
Ppob Majenang,"['kartu', 'kocak', 'pakai', 'indosat', 'pikir', '1000']",17/01/2024 10:36,1
Saifullah muzayin charis,['bagus'],31/01/2024 10:18,5
HK Channel,"['sinyaaaaal', 'asuuuuuuu', 'busuuuuuuuuk', 'babiiiiiiiii', 'jaring', 'khontooooooooool', 'sinyaaaaal', 'asuuuuuuuuu', 'bajingaaaaaaaaan']",13/01/2024 17:02,1
Putri Awalia,['bagus'],10/01/2024 09:25,5
Mat Ajuhan,['mantap'],20/01/2024 11:21,5
Jajang sukandar 19,"['iya', 'jaring', 'jelek', 'pas', 'paket', 'kuota', 'tidak', 'malah', 'pulsa', 'potong']",14/01/2024 08:42,1
Waginah Manis,"['apllikasi', 'bagus', 'bonus', 'iya', 'banyak', 'biar', 'puas', 'beli', 'apa', 'im', '3']",27/01/2024 12:10,5
Dana Kusuma087,['bagus'],22/01/2024 07:31,4
Angga Merta,"['m3', 'tidak', 'hilang', 'sinyal', '1', 'jm', 'tidak', 'ganggu', 'sebentar', 'wakil', 'player', 'game', 'pakai', 'kartu', 'm3', 'afk', 'main', 'game', 'gara', 'ganggu', 'kecewa', 'pakai', 'kartu', 'm3', 'tidak', 'peduli', 'player', 'game', 'hapus', 'kartu', 'm3']",19/01/2024 07:05,1
King Kong,"['aplikasi', 'payah', 'elor', 'trusss']",14/01/2024 18:56,1
Massri Panglima,"['puas', 'pelayanannyamasal', 'jaring', 'tidak', 'stabil']",12/01/2024 09:02,5
Buldi Sonda,"['beast', 'of', 'beast']",28/01/2024 08:37,5
zaza idaa,['bagus'],15/01/2024 03:39,5
mukhamad syahrul afandi,"['sinyal', 'jelek']",14/01/2024 13:12,1
Akbar San,"['jaringann', 'jelek', 'kota']",19/01/2024 12:59,1
Rizki Lahi,['manfaat'],30/01/2024 19:04,5
Entin Rostini,['puas'],15/01/2024 02:42,5
Ahmad Erlangga,"['murah', 'bagus']",18/01/2024 05:04,5
Faqih Faqih,"['kasih', 'geratisn', 'kuota']",24/01/2024 09:44,5
Kumaedi 1988,"['sinyal', 'burikleletlemot', 'parah', 'harga', 'kualitas', 'turunindosat', 'payahberalih', 'smartfren', 'josssssss']",24/01/2024 13:51,1
Kuntetyoii,"['indosat', 'harga', 'kuota', 'mahal', 'jaring', 'nya', 'kaya', 'sampah', 'error', 'eror', 'iklan', 'banget', 'jancko', 'maaf', 'maaf', 'ngmong', 'kasar', 'tidak', 'ber', 'etika', 'suara', 'resah', 'guna', 'baca', 'iya', 'admin']",14/01/2024 07:29,1
Name No,[],26/01/2024 13:03,1
Yann,"['isi', 'pulsa', 'kepotongbahkan', 'beli', 'kuota', 'status', 'gagalhabis', 'coba', 'beli', 'pulsa', 'kuras', '3300huh', 'tidak', 'sih', 'kesell', 'kuras', 'melulu']",15/01/2024 15:08,1
Ahmad Yani,['keren'],24/01/2024 14:29,5
Anime tv,"['baru', 'lancar', 'lelet']",25/01/2024 06:59,1
Zaenal Aza,['mantul'],23/01/2024 14:30,5
rini Syahrini,"['tidak', 'pulsa']",27/01/2024 03:52,5
Whan Fedex,[],15/01/2024 17:54,5
Rio Bagus,"['indosat', 'tolol', 'jaring', 'lag', 'segi', 'mana', 'sesal', 'pakai', 'indosat']",26/01/2024 13:44,1
Mamanya Yasmin,['oke'],17/01/2024 11:56,5
Heni Rahmawati,['bagus'],11/01/2024 05:32,5
uchiha shodikin,"['aplikasi', 'seluler', '1', 'tidak', 'buka', '1', 'aneh']",14/01/2024 04:42,1
Zavial Muhl,"['pulsa', 'darurat', 'apa sih', 'pinjam', 'pulsa', 'hah', 'beli', 'pulsa', '125rb', 'potong', '8000', 'maksud', 'asa', 'tidak', 'pakai', 'pulsa', 'smp', 'telepon', 'tidak', 'gtu', 'potong', 'telpon', 'tidak', 'tidak jelas']",31/01/2024 10:37,1
wildan diandi,"['kocak', 'indosat', 'jaring', 'suka', 'hilang', 'ujan']",11/01/2024 17:50,1
Muhammad Hidayat,"['jangkau', 'indosat', 'pelosok', 'negri']",11/01/2024 13:04,4
Desy ratna,"['nomor', 'tidak', 'terima', 'pesan', 'sms']",11/01/2024 13:43,1
Mur Leti,['ngelaggg'],21/01/2024 06:36,1
Alya zalza Ramadani,['bagus'],21/01/2024 06:54,5
Abdul Abdullah,"['paket', '30gb', 'ko', 'gak', 'pakai', 'payah', 'indosat', 'banyak', 'tipu']",20/01/2024 08:45,1
Muhamad Ridwan,['bagus'],11/01/2024 11:33,5
Alfin Danie,[],17/01/2024 10:58,5
Rudy Andescore,['bagus'],29/01/2024 11:01,5
BUDIMAN 28,['lumayan'],18/01/2024 15:07,4
Juairiah Aja,"['isuisu', 'decision', 'isg', 'jack', 'johnson', 'eur', 'gbp', 'sholeh', 'amin', 'iya', 'rabbal', 'baraya', 'sunda', 'kelapa', 'ras', 'ko', 'honda', 'beat', 'galo', 'e', 'moga', 'manfaat', 'bilang', 'anak', 'kecil', 'sholeh', 'amin', 'iya', 'rabbal', 'baraya', 'sunda', 'kelapa', 'ras', 'ko', 'honda', 'beat', 'galo', 'e', 'moga', 'manfaat', 'bilang', 'anak', 'kecil', 'sholeh', 'amin', 'iya', 'rabbal', 'baraya', 'sunda', 'kelapa', 'ras', 'ko', 'honda', 'beat', 'galo', 'e', 'moga', 'manfaat']",16/01/2024 06:42,5
Ahmad Sahid,"['kotor', 'hilang', 'mulukkk', 'bajingannn']",26/01/2024 12:39,1
Alexsandre Agustine,['mudah'],10/01/2024 04:20,4
Bayu Saputra,"['ok', 'normal', 'kak']",30/01/2024 03:34,5
firmss brow,"['hari', 'tanggal', '26124', 'jam', '2029', 'makassar', 'tiba2', 'jsringan', 'drop', 'pribadi', 'butuh2nya', 'internet', 'tidak', 'sm', 'skali', 'akses', 'report', 'absen', 'pulang', 'tidak', 'internet', 'mohon', 'tindak', 'lanjut']",26/01/2024 12:33,1
Dayat bb,"['jaring', 'kotor', 'betulin', 'kotor', 'jaring', 'lelet', 'payah', 'jaring', 'tolol']",25/01/2024 12:15,1
Adhe Putra,['aneh'],30/01/2024 08:15,1
Hugo Bia,['puas'],21/01/2024 02:40,5
Server TH,"['halo', 'im3', 'server', 'tidak', 'stabil']",26/01/2024 13:20,1
Reza Widiyanto,['bagus'],23/01/2024 05:11,5
Halilintar Gaming,"['jaring', 'anjing', 'tidak', 'hilang', 'tidak', 'hujan', 'tidak', 'angin', 'hilang', 'kocakkkkk']",26/01/2024 13:47,1
Bayu Ganteng,"['indoosat', 'sinyal', 'ting']",12/01/2024 14:58,5
roby ardiansyah,"['tidak', 'ambil', 'paket', 'aktif', 'paket']",30/01/2024 05:36,1
Hari Extrada,"['sinyal', 'nya', 'bagus', 'bagus']",16/01/2024 12:45,5
Febri Gjj,"['lagg', 'teross']",11/01/2024 08:51,1
AldiGanteng Aldi,"['jaring', 'ktl']",26/01/2024 12:49,1
Fitria Riyani,['bagus'],14/01/2024 01:47,5
Hendri WiKiZa,"['halo', 'indosat', 'sinyal', 'im3', 'lokasi', 'kepri', 'super', 'lambat', 'jaring', 'internet', 'cekbke', 'lokasi', 'terima kasih']",24/01/2024 10:19,4
Muhamad Hegar Nawawi,"['indosat', 'tolol', 'ganggu', 'harga', 'mahal', 'lebih baik', 'tidak', 'pakai', 'indosat']",19/01/2024 11:09,1
AS gaming,"['hilang', 'jaring']",26/01/2024 12:39,1
Andrian abdul Rohman,"['asa', 'ganggu', 'melulu', 'hadeh']",26/01/2024 13:32,1
Bagus Warisman,"['kuota', 'internet', 'pulsa', 'utama', 'kurang', 'tidak', 'pakai', 'tel', 'reguler', 'biasa', 'indosat']",21/01/2024 01:38,1
anto,['puas'],17/01/2024 11:32,5
Ahmad Asyari,"['mantap', 'myim3']",22/01/2024 15:17,5
Tammal Satria,['mantap'],22/01/2024 02:00,5
Basri,"['kasih', '4', 'beli', 'paket', 'darurat', 'harga', 'nya', '4500', 'isi', 'pulsa', 'potong', '5500']",30/01/2024 10:15,4
Taufik Hidayat,[],17/01/2024 01:36,5
Denis Al arba,"['sinyal', 'aneh', 'turun', 'turun', 'kocak']",13/01/2024 11:21,2
Vivo Y91,"['jaring', 'tidak', 'work', 'it', 'pakai']",22/01/2024 10:27,1
Yuana Prisma Dina,"['lelet', 'usaha', 'usaha', 'komplain', 'sm', 'lelet']",16/01/2024 14:57,1
Iswanto,"['kuota', 'mahal', 'jaring', 'kacau', 'ngelag2', 'daerah', 'kalianda', 'lamsel', 'kacau', 'parah']",16/01/2024 01:56,1
Mhmmdrajib Abdulloh,['wel'],18/01/2024 13:54,5
Subhi B2k,"['tidak jelas', 'banget', 'si', 'pulsa', 'sedot', 'mulutop', 'up', '25k', '1k', 'mohon', 'baik', 'langgan']",13/01/2024 21:22,1
imbo paat,['ok'],17/01/2024 03:11,5
Edi Silalahi,['baik'],17/01/2024 09:26,4
Sunardi Sunardi,"['tingkat', 'biar', 'mantap']",29/01/2024 03:33,5
