Ã¯Â»Â¿userName,content,at,score
Aji Saputra,['lumayan'],23/01/2024 11:20,1
Revina Handayani,['perfect'],15/01/2024 15:02,1
Imam Penszol,[],24/01/2024 10:48,1
Jefri Muamar,"['baru', 'tidak', 'buka']",16/01/2024 13:16,0
Rusli Vivo,['suka'],21/01/2024 03:01,1
Jomlo Lolo,['ok'],10/01/2024 20:46,1
Abdurrahman,['ok'],13/01/2024 12:11,1
Naufal Albion,"['jaring', 'nya', 'rusak', 'gin', 'lebih baik', 'jual', 'bakso', 'kon']",23/01/2024 09:31,1
hava Grosir Pakaian,"['bangkrut', 'iya', 'jaring', 'error']",26/01/2024 13:55,0
Siswati Joko,"['jaring', 'suka', 'hilang', 'jaring', 'tidak', 'guna', 'kouta']",28/01/2024 09:46,1
Channel Jo,"['iya', 'kesini', 'indosat', 'buruksinyal', 'hilang', 'pulsa', 'im3', 'kurang', 'tibatolong', 'min', 'baik']",27/01/2024 17:54,0
Dede zulfan pane Pane,"['ngk', 'produk']",31/01/2024 16:01,0
Ihsan Bayem,"['tidak', 'sering', 'ganggu', 'isi', 'paket', 'tidak']",30/01/2024 16:26,0
Talus Mulus,"['baru', 'mesti', 'login', 'ulang', 'repot', 'banget']",25/01/2024 05:10,0
Hafamedicaceter 12,['well'],30/01/2024 15:05,1
Reggy S Anugrah,"['aplikasi', 'nya', 'tidak bisa', 'buka', 'iya']",13/01/2024 00:54,0
Rofinus Agun,"['daerah', 'bal', 'jaring', 'lemah']",16/01/2024 02:19,1
Abdul haki Hakim,"['yau', 'youtube']",24/01/2024 15:38,1
Shandy Permana,"['beli', 'pulsa', 'darurat', 'masuk', 'bayar', 'sinting', '1m3']",31/01/2024 07:57,0
Ortus Catalis,['okay'],10/01/2024 14:05,1
Andara Boy,"['tidak', 'pasuk', 'aplikasi', 'myim3', 'mohon', 'baik', 'nya', 'pihat', 'developer', 'myim3']",14/01/2024 14:28,0
Galang Ramadhan,"['bos', 'ku', 'terima', 'kasih']",11/01/2024 15:16,1
Mari Alfarizi,"['indosat', 'is', 'ferry', 'bagus', 'all']",18/01/2024 03:52,1
Irhas Syafawi,"['ganggu', 'teross']",26/01/2024 13:42,0
Mai Yen,"['bagus', 'daerah', 'tidak', 'rata', 'jaring', 'm3', 'nya']",16/01/2024 14:29,1
Ahmad khanciel,"['jaring', 'data', 'hilang', 'area', 'kabupaten', 'tasikmalaya']",11/01/2024 11:11,0
Taqi Redmi,"['isi', 'voucer', '6gb', '5', 'gb', 'pakai', '2', 'menit', '400', 'mb', 'woy', 'balikin', 'paket', 'anjing']",10/01/2024 13:08,0
Ucenk Je,"['mohon', 'kembang', 'hadiah', 'faforit']",31/01/2024 06:44,1
NUR HIDAYAT,"['hujan', 'angin', 'jaring', 'lelet', 'paket', 'mahal', 'kirim', 'lapor', 'serta', 'lokasi', 'my', 'm3', 'tidak', 'gubris', 'jaring', '1', 'bar', 'super', 'lelet', 'rugi', 'konsumen', 'parah']",30/01/2024 10:41,0
Adam Tolol,"['sinyal', 'nya', 'jelek', 'banget', 'isi', 'paket', 'tetep', 'lelet']",30/01/2024 14:34,0
Dafid Anggik,['baik'],29/01/2024 22:59,1
vespa sprint,['ok'],22/01/2024 12:53,1
Hendra Winata,"['im3', 'parah', '2', 'sinyal', 'internet', 'g', 'kayak', 'g', 'utang', 'beli', 'quotanya', 'g', 'beli', 'kuota', '100gb', 'hingga', '200gb', 'mahal', 'ratenya', 'imbas', 'nya', 'sinyal', 'kayak', 'eek', 'komplain', 'pakai', 'klise', 'melulu', 'indosat', 'm3', 'preeettt']",21/01/2024 07:22,0
Rizqillah Achmad,['ok'],26/01/2024 01:37,1
Widi Yatna,"['woyy', 'jaring']",26/01/2024 13:06,0
Tito Eben Ezer,"['minggu', 'lelet', 'parah', 'masuk', 'aplikasi', 'aplikasi', 'maksa', 'banget', 'jual', 'pulsa', 'fb', 'provider', 'parahhhhhhhhhh', 'menggangu', 'banget', 'tauuuuuuuuuuu']",30/01/2024 02:41,0
Hans Coming,['mantap'],21/01/2024 05:55,1
Dill Bsk,"['bug', 'transaksi', 'salam', 'konfirmasi', 'transaksi']",11/01/2024 10:52,0
Youken Pro,"['oke', 'banget', 'aplikasi']",26/01/2024 03:05,1
Silahuddin Arsitek,"['ribet', 'pakai', 'verifikasi', 'sms', 'kirim', 'paket', 'beli', 'paket', 'pakai', 'konfirmasi', 'sms', 'paket', 'tidak', 'harga', 'paket', 'mahal', 'buruk', 'parah', 'indosat', 'beli']",13/01/2024 11:01,0
Mukhlisin Karag,"['muh', 'lisin']",20/01/2024 14:17,0
Muhammad Nadarullah,['bagus'],13/01/2024 17:46,1
Baihaqi Abd,"['gabung', 'tri', 'jaring', 'buruk', 'sinyal', 'suka', 'hilang', 'sinyal', 'internet', 'tidak', 'jalan', 'hingga', 'sebab', 'buffering', 'kecewa', 'mundur', 'im3', 'pakai', 'im3', '8', 'kira', 'benar', 'jaring', 'ampas', 'jugaaaa', 'payaaaah']",26/01/2024 14:17,0
Enda Saputra,"['yh', 'susah', 'buka', 'aplikasi', 'ny']",22/01/2024 08:43,1
Nur Din,"['lelet', 'betttttt']",11/01/2024 09:37,0
Samsung Galacy,['mantap'],28/01/2024 05:04,1
Erfina Yuanistira,"['jaring', 'kuat', 'luas', 'yah', 'inti', 'ku', 'dimana2', 'pakai', 'eh', 'jaring', 'tidak', 'nentu', 'ilang2an', 'stres', 'lama2', 'baik', 'yah']",26/01/2024 12:51,0
Siti Maryam,"['terima kasih', 'bonus', 'kuotannya', 'ada', 'promo', 'yaa', 'paket', 'bulan']",22/01/2024 09:16,1
NOOR SYAIFIYAH,['bagus'],15/01/2024 04:43,1
Dee Fa,['bagus'],13/01/2024 02:03,1
Telet Jozz,"['aplikasi', 'rusak', 'tidak', 'buka']",10/01/2024 10:07,0
Eko Haryanto,"['sinyal', 'bagus']",17/01/2024 11:20,1
Irma Viani,['bagus'],15/01/2024 15:17,1
Khalid Usbaniy,"['koin', 'ko', 'hilang', 'tidak', 'pakai']",16/01/2024 11:57,0
Sahruni Amirullah,['bagus'],27/01/2024 02:41,1
Farid Firmansyah,"['ok', 'banget']",13/01/2024 04:03,1
Qomar,"['sesal', 'beli', 'paket', 'dimyim3', 'hilang', 'pulsa', 'eh', 'data', 'tidak', 'kasih', '0', 'bintang']",13/01/2024 05:27,0
Donn,"['kertu', 'bau', 'menek']",26/01/2024 13:27,0
LokaDwienata 88,['okeeee'],25/01/2024 03:02,1
Hen Jkr,"['aplikasi', 'goblog']",11/01/2024 10:44,0
Denii,"['ganggu', 'sinyal', 'tidak', 'konsisten', 'lelet']",13/01/2024 11:00,0
Ghanime Chanel,"['pulsa', 'hilang', 'menu', 'unred', 'sial', '185', 'tidak', 'buruk', 'kecewa', 'akan', 'kurang', 'uang', 'provider', 'potong', 'pulsa', 'notif']",20/01/2024 02:42,0
D&D faizal,"['kupret', 'ktanya', 'downlod', 'aplikasi', 'grtis', '1gb', 'mn', 'tekan', 'mlh', 'error']",24/01/2024 09:06,1
Zebra King,['keren'],18/01/2024 13:06,1
Anjani Ramadina,['tipu'],13/01/2024 18:27,0
Chandra Ponsel,"['baru', 'tidak', 'nukar', 'koin', 'lagikoin', '2313', 'tidak', 'bisadi', 'tuker', 'pakai', 'paket', 'internet', '200mb', 'an']",18/01/2024 04:57,0
Yohanes Jakas,['bagus'],20/01/2024 09:08,1
SG KOK KAYU,"['jelek', 'banget', 'sinyal', 'bikin', 'emosi']",17/01/2024 16:22,0
mirwanjhi mirwan,"['jaring', 'im3', 'main', 'ff', 'bagus', 'jelek', 'mohon', 'bantu']",26/01/2024 10:38,0
Muhamad Misbah,"['aplikasi', 'nya', 'jelek', 'pulsa', 'tidak', 'toup', 'up', 'game']",12/01/2024 15:00,0
Weton Weton,"['tampil', 'ribet']",24/01/2024 06:40,0
Redmi 4a,"['kartu', 'tidak jelas', 'lelet', 'tidak', 'bnr', 'kartu', 'nya']",13/01/2024 13:07,0
Triyono Susilo,"['kesini', 'bukan', 'bagus', 'hilang', 'sinyal', 'internet', 'daerah', 'bogor', 'sentul']",27/01/2024 00:26,0
Anggarius Even seran,[],14/01/2024 03:32,1
Mas Jumadi,['ok'],30/01/2024 03:32,1
LEON,"['2', 'jaring', 'tidak', 'baik', 'jaring', 'kencang', 'banget', 'lelet', 'banget', 'wujud', 'tu', 'jaring', 'lomba', 'siput', 'kalah']",15/01/2024 02:54,0
Herdiawan Herdy,"['jaring', 'buruk', 'main', 'game']",17/01/2024 13:39,0
Eknawani Zulaikha,['ok'],25/01/2024 06:31,0
Ruhyat Aliansyah,"['bagus', 'banget']",28/01/2024 18:43,1
Dreamy Playz,"['jaring', 'jelek', 'banget', 'niat', 'tidak', 'sih', 'provider']",14/01/2024 06:25,0
Zulpikar Kurniawan,"['kesini', 'kesanasemakin', 'beli', 'paket', 'mahal', 'paket', 'im3beli', 'paket', '50rb', '18gb', 'tidak']",24/01/2024 08:37,0
Silvia Ningsih,"['jaring', 'nya', 'kuat', 'bonus', 'kuota']",30/01/2024 08:44,1
Abdur Rahim,[],31/01/2024 17:39,1
Rama Nurswndi,"['sinyal', 'kesini', 'buruk']",15/01/2024 14:09,0
Santoso Stg,['bagus'],18/01/2024 06:27,1
AAR 2104,"['tidak', 'sinyal', 'sih']",26/01/2024 12:27,0
Arrifa Mawaddah,['mantup'],24/01/2024 09:03,1
Sultan Fauzan Azima,"['sinyal', 'sinyal', 'hilang', 'paket', 'sinyal', 'hilang', 'buka', 'chrome', 'offline', 'mohon', 'baik']",17/01/2024 06:33,0
Papa Muda,"['mohon', 'baik', 'jaring', 'parah', 'jaring']",28/01/2024 14:49,0
Dendra Alfiansyah,"['bagus', 'beh']",29/01/2024 23:35,1
Garrena Freefire,"['sih', 'beli', 'kouta', 'freedom', 'internet', '3gb', 'bonus', 'kouta', '2gbnya', 'tidak bisa', 'klaim', 'rugi']",20/01/2024 13:09,0
ilman Saja,"['im3', 'oke', 'banget']",20/01/2024 14:16,1
Iis Ismawati,"['tayyib', 'jiddan']",13/01/2024 22:47,1
Ninit Yuniasari,['mantap'],19/01/2024 08:56,1
Renaldi ansyah,"['jaring', 'jelek', 'lelet', 'kouta', 'mahal', 'jaring', 'jelek']",19/01/2024 07:51,0
Menolak Waras Tzy Jr,"['uang', 'kirim', 'dana', 'transaksi', 'gagal', 'anjing', 'duit', 'gak']",17/01/2024 03:11,0
ikaikai ika,"['terima', 'kasih']",30/01/2024 06:46,1
Yuni Riana Official,"['bagus', 'kerja']",22/01/2024 12:36,1
Amang Haddad,"['harga', 'paket', 'super', 'mahal', 'jaring', 'lelet']",29/01/2024 22:33,0
Si Piyan,['mantul'],31/01/2024 08:18,1
Den Nis,['data'],27/01/2024 23:12,1
sahrul gustain,"['m3', 'tidak jelas', 'isi', 'pulsa', '10000', 'potong', 'pakai', 'kartu', 'butuh', 'tidak', 'paket', 'kasih', 'reting', '1']",14/01/2024 03:22,0
Ramli,"['paket', 'data', 'mahalkualitas', 'sinyal', 'buruklama', 'pindah', 'operator']",18/01/2024 05:23,0
Andi Sopandi4532,"['baru', 'harga', 'langgan']",15/01/2024 23:12,0
Fatier Bagundall,['keren'],19/01/2024 14:59,1
Sergio Taidi,['bagus'],29/01/2024 23:42,1
Jem Niknik,"['pas', 'masuk', 'krim', 'kode', 'otp', 'tidak', 'masuk2', 'x', 'jelek', 'banget', 'aplikasi']",17/01/2024 14:57,0
Kaleng Kuaci,"['4g', 'taek']",11/01/2024 04:58,0
Natan Pratama Natan,"['ber', 'manfaat']",22/01/2024 12:45,1
Put put put,"['sinyal', 'indosat', 'mkin', 'parah', 'ganggu', 'baik', 'kouta']",26/01/2024 13:30,0
Hilman s93,"['bagus', 'jaga', 'guna', 'indosat', 'nyaman', 'guna', 'operator', 'moga', 'depan', 'rewardnya', 'lekuatan', 'sinyal', 'daerah2', 'pelosok', 'susah', 'sinyal', 'terima kasih', 'im3', 'terima kasih', 'indosat']",20/01/2024 11:06,1
Nuril Fatah,"['sinyal', 'busuk']",19/01/2024 14:19,0
Rahmat Apriono,"['sinyal', 'sampahhh', 'gak', 'sinyal', 'slelettt', 'banget', 'gak', '100kbs', 'tolollllll']",18/01/2024 12:43,0
miku 19,"['bagus', 'perangkat']",24/01/2024 01:01,1
Muhammad sand Setiawan,['bagus'],26/01/2024 09:58,1
AL DI,"['my', 'im3', 'celakaberkali', 'ikut', 'panduannyamasih', 'saaja', 'tidak', 'terbukabahkan', 'kali', 'mendonwload', 'aplikasi', 'tidak', 'terbukabikin', 'sial']",21/01/2024 00:28,0
Rezi Saputra,"['kuota', 'tidak', 'masuk', 'anjing']",14/01/2024 03:59,0
DSTAR gaming,"['jaring', 'nya', 'emg', 'lelet', 'gimanapadahal', 'tinggal', 'daerah', 'kota', 'lohtolong', 'jaring', 'diperbaikiitu', 'sih']",27/01/2024 05:41,1
adi lenaldi,['bagus'],20/01/2024 07:20,1
Muhammad azis Azis,['bagus'],16/01/2024 18:33,1
rubini cicik,"['tidak', 'diinstall']",28/01/2024 22:38,0
PUSPITA FITRIANI,"['jaring', 'koneksi', 'jelek', 'iya', 'kartu', 'harga', 'mahal', 'bukan', 'perbaikin', 'kwalitas', 'busuuukkkk']",15/01/2024 11:02,0
Dian Prasetia,"['indosat', 'hormat', 'bayar', 'tagih', 'pulsa', 'darurat', 'rupiah', '14000', 'beli', 'pulsa', 'rupiah', '10000', 'beli', 'kuota', 'pulsa', 'pulsa', 'kurang', 'beli', 'paket', 'internet', 'konsumen', 'setia', 'kecewa', 'alih', 'kartu', 'sim', 'tidak', 'guna', 'indosat', 'harga', 'paket', 'mahal', 'sinyal', 'internet', 'lelet', 'kurang', 'variasi', 'paket', 'internet', 'balikin', 'pulsa']",29/01/2024 10:49,0
Yoga Pranata,"['aplikasi', 'samph']",15/01/2024 12:34,0
Edyy Edyy,"['coba', 'jaring', 'macet']",30/01/2024 13:04,0
Dhaus Chester,"['suka', 'aplikasi', 'myim3', 'respon', 'nya', 'lelet']",22/01/2024 07:35,0
Monkey-D- Luffy,"['sinyal', 'hilang', 'tidak jelas']",15/01/2024 17:44,0
Bhony Que,['sukses'],20/01/2024 01:54,1
Nabila Marni,['bagus'],25/01/2024 12:40,1
Luluk Fajriah,[],28/01/2024 10:32,0
Ami Rusmana,['ok'],21/01/2024 03:58,1
Rosita Surat,['jelek'],31/01/2024 12:13,1
deknu ardana,"['mohon', 'maaf', 'tidak bisa', 'dipake', 'mungkin', 'usaha', 'indosat', 'bangkrut', 'milik', 'miskin', 'mknya', 'tidak bisa', 'dipake', 'prusahaan', 'gede', 'gin']",26/01/2024 23:37,0
Saya Korban Ghosting!,"['baru', 'sinyal', 'mu', 'noh', 'benerin', 'ampas', 'tambah', 'ampas']",22/01/2024 04:14,0
donny daryadi,['keren'],26/01/2024 09:10,1
Moch Nifar Bilqist N,"['sih', 'suka', 'lag', 'parah', 'bagus', 'awalnyajadi', 'kesal', 'myim3', 'sih']",29/01/2024 07:20,0
Adi Perdana,"['lelet', 'baru', 'lelet']",24/01/2024 12:25,0
maskhurun wijaya,"['mahal', 'paket', 'data', 'program', 'hot', 'promonya', 'hilang']",29/01/2024 00:04,0
lia amel putriana,"['asli', 'kecewa', 'indosatudh', 'minggu', 'trahir', 'pulsa', 'hilang', 'teruskadang', 'malam', 'hilang', '2200', 'pagi', 'nya', 'hilang']",23/01/2024 23:16,0
Adnin Zaenal,"['kesini', 'kesana', 'banget', 'ganggu', 'baik', 'tidak', 'pemberitahuan', 'ganggu', 'aktifitas']",26/01/2024 14:04,0
Taroci Ambat,"['paket', 'bundling', 'buat', 'ganggu', 'baik', 'dapat', 'pakai', 'gratis', '2gb1', 'paket', 'memnganggu', 'paket', 'sisa', 'sebab', 'paket', 'sisa', 'tidak', 'guna', 'saran', 'hilang', 'paket', 'bundling']",24/01/2024 05:14,0
Sahrul Jaidin,"['jaring', 'jelak', 'gak', 'stabil', 'haarga', 'mahal', 'tolonh', 'baik', 'lagi']",27/01/2024 01:27,0
Waskito Krhisna Aji,"['provider', 'tidak jelas', 'mahal', 'lelet']",16/01/2024 06:37,0
Niko Hermawan,"['si', 'beli', 'paket', 'gagal', 'kesell']",31/01/2024 09:19,0
Yudistira Putra,"['sinyal', 'ganggu', 'tidak']",26/01/2024 13:41,0
Mabya Cheva,"['impoin', 'tidak', 'tukar', 'alias', 'gagalmau', 'nukarin', 'susah', 'tertawa']",20/01/2024 06:17,0
Apri yana,"['pulsa', 'nya', 'potong', 'mah', 'pakai', 'kunci', 'pulsa', 'biar', 'aman', 'biar', 'gak', 'sedot', 'pulsa']",31/01/2024 21:43,0
Muhammad Anas,['oke'],10/01/2024 07:06,1
Muhammad Ilham Akbar,"['jaring', 'jelek', 'gak', 'bagusmau', 'kota', 'desa', 'gak', 'beda', 'jelek', 'perbaikimasa', 'kalah', 'kartu']",25/01/2024 04:10,0
yudi,"['parah', 'hilang', 'jaring', 'nya', 'kuota', 'mahal', 'hilang', 'jaring', 'nya', 'jam']",22/01/2024 17:40,0
Fajar adalah Raja,['mahal'],23/01/2024 08:58,1
wisnu daniel,"['pikir', 'konsumen', 'lamayg', 'nomor', '10digit', '11', 'digit', 'pelit', 'bonus', 'kasih', 'paket', 'data', 'murahmasak', 'konsumen', 'kasih', 'promoyg', 'benerrrr', 'sajaaa', 'contohkalau', '100gb', 'harga', '100rbyg', 'nomor', 'beda', 'akhirakhir', 'lihat']",10/01/2024 09:28,0
Achmad Kholiq,['mantap'],24/01/2024 06:50,1
Bayu Sandi,"['baru', 'buruk', 'bayar', 'pakai', 'dana', 'gagal', 'melulu', 'suka', 'error', 'enak', 'model']",11/01/2024 10:44,0
Han,['lelet'],26/01/2024 14:22,0
Risal M,"['guna', 'indoim3', 'sdh', '2', 'harga', 'kuota', 'alami', 'naik', 'sngat', 'drastis', '2024', 'rencana', 'alih', 'provider']",13/01/2024 00:52,0
RUDI CANDRA,"['promo', 'jaring', 'lambat', 'kayak', 'siput', 'dalam', 'kalimantan', 'jaring', 'mu', 'kayak', 'siput']",20/01/2024 13:34,1
Azka Bastian,"['tidak', 'pakai', 'bintang', 'kosongin', 'parah', 'jaring', 'nya', 'ganggu', 'kerja', 'harga', 'tidak', 'kualitas', 'parah']",29/01/2024 09:45,0
Raga zulfikar Rabani,"['sinyal', 'ganggu', 'melulu', 'bar', 'penuh', 'buffering', 'melulu']",11/01/2024 12:02,0
Neng Liana SN,"['beli', 'kuota', '2', 'jam', 'tidak', 'proses2', 'kira', 'gagal', 'kan', 'iya', 'beli', 'ulang', 'tumpuk', 'riwayat', 'transaksi', 'sulit', 'banget', 'tidak bisa', 'digagalin', 'manual']",19/01/2024 15:25,0
FATHAN Fazril,"['minnn', 'ngelaq', 'sih', 'min', 'udahh', 'mode', 'pesawat', 'data', 'gak', 'sih', 'min']",31/01/2024 14:57,0
Si Panjul,"['jaring', 'data', 'error', 'sinyal', 'doang', 'penuh', 'internet', 'tidak', 'dipake', 'moral', 'indosesat', 'wajib', 'kasih', 'kompensasi', 'konsumen']",28/01/2024 09:40,0
Tgk Zul,"['bagusss', 'mantanppp']",22/01/2024 08:58,1
King Engine,"['ganggu', 'jaring', 'ganggu', 'mental']",26/01/2024 13:35,0
Muhamad Romli,['bagus'],22/01/2024 10:46,1
Manunggal Jaya 1,"['dungu', 'indosat', 'ooredoo', 'hutchison', 'pulsa', '1ooo', 'hilang', 'detik', 'jaring', 'internet', 'indosat', 'ooredoo', 'turun', 'bandwitch', 'kwalitas', 'burukjeleksusah', 'internet', 'bahagia', 'awal', '2024', 'sialaan']",21/01/2024 07:51,0
Akun Guest,"['mahall', 'banget', 'sinyal', 'jelek', 'tidak', 'adaa', 'enak', 'enak', 'nya', 'pakai', 'im3']",26/01/2024 12:59,0
rivan pgk,"['koneksi', 'internet', 'putus']",29/01/2024 13:19,0
Norma Saefullah,['bagus'],29/01/2024 15:48,1
Ar Xny,"['terima kasih', 'mudah', 'beli', 'paket']",28/01/2024 06:03,1
Sasa Humaina putri,"['i', 'like']",13/01/2024 12:59,1
Sunarti Samarinda,['mantap'],26/01/2024 00:25,1
Ikin Sobikin,['mantap'],20/01/2024 14:38,1
Annisa Meidina,"['parah', 'banget', 'pakai', 'sim', 'kartu', 'pulsa', 'utama', 'sedot', 'gak', 'gratis', 'kuota', 'nya', 'banget', 'pulsa', 'irit2', 'tetep', 'sedot']",22/01/2024 07:29,0
edy Ajj,"['indosat', 'ajing', 'poin', 'hilang', 'sempay', 'sya', 'tukar', 'kan', 'poin', 'hilang']",21/01/2024 19:22,1
Bang Danz,"['akhirini', 'banyk', 'ganggu', 'nya', 'jengkelbukan', 'jarang', 'laku', 'sekalijadi', 'pindah', 'kartutmn', '3', 'thun', 'pakai', 'indosat', 'pindah', 'bnyknya', 'ganggu', 'naik', 'harga', 'paket', 'mahal', '4', 'sd', '5', 'guna', 'nya', 'depan', 'tidak', 'tindak', 'lanjut', 'maka', 'kcwe', 'mungkin', 'maksi']",26/01/2024 13:21,0
Marley Gaming22,"['habis', 'baru', 'susah', 'guna', 'maksud', 'proses', 'beli', 'paket', 'lambat', 'bagus', 'versi', 'versi', 'perform', 'jaring', 'hilangin', 'notifikasi', 'silah', 'ambil', 'kuota', 'darurat', 'ganggu', 'banget', 'pas', 'main', 'game', 'jaring', 'hilang', 'muncul', 'notif', 'kayak', 'cek', 'kuota', 'puluh', 'gb', 'pindah', 'prvdr', 'gara', 'notif', 'muncul', 'melulu']",11/01/2024 11:13,0
Tumpal,['bagus'],19/01/2024 13:13,1
rizky ramadhany,"['tolol', 'ganggu', 'melulu']",26/01/2024 13:13,0
Ragil Permadani,"['ok', 'banget']",31/01/2024 09:52,1
Ashari Ashari1213,['bagus'],20/01/2024 20:28,1
Surya dika,"['internet', 'hilang', 'koneksi', 'sinyal', '4g', 'penuh', 'lokasi', 'kota', 'surabaya', 'kuota', 'penuh', '20', 'gb', 'gak', 'tanggap', 'developer']",26/01/2024 13:07,0
KP - ERNI RUSMIATI,"['paket', 'doang', 'mahal', 'jaring', 'kaya', 'kaya', '2g', 'aneh', 'jakarta', 'penuh', '4g', 'gausah', 'pakai', 'kartu', 'indosat', 'bray', 'mahal', 'doang', 'cepat', 'buruk']",28/01/2024 20:11,0
Yunus Hany,['baik'],15/01/2024 13:03,1
Anjani Saputri,[],18/01/2024 09:50,1
Damar Neon,"['mendung', 'dkit', 'sinyal', 'hilang', 'bubar']",26/01/2024 12:59,0
Angga Ole,"['jaring', 'intrnet', 'indosat', 'benar', 'cawak', 'tahan', 'mnjadi', 'guna', 'indosat', 'tahun', 'kulitas', 'intrnet', 'nya', 'buruk', 'mnding', 'pindah', 'operator', 'guna', 'intrnet', 'tidak', 'saran', 'mnggunakan', 'indosat']",28/01/2024 17:02,0
ahmad cagur,"['jaring', 'kesini', 'tidak jelas']",25/01/2024 14:08,0
Fredi Santoso,['ok'],16/01/2024 03:28,1
Ekki Yz,['boros'],27/01/2024 00:38,1
Why Widodo,"['aplikasi', 'error', 'gak', 'tidak', 'buka']",18/01/2024 11:13,0
Evi Rosilah,"['aplikasi', 'myim3', 'bagus', 'guna']",10/01/2024 13:32,1
Sandi ahmad Setiawan,"['kode', 'otp', 'tidak', 'kirim', 'kirim']",17/01/2024 04:47,0
Wondo Sulaeman,"['kouta', 'nya', 'murahsama', 'gratis']",19/01/2024 09:37,1
Tisna Brew,['bagus'],30/01/2024 15:09,0
Fauzan Azzam,['mantap'],31/01/2024 01:38,1
Jalil Hidayat,"['naya', 'jawab', 'iya']",14/01/2024 18:28,0
Syahban Junior,"['kartu', 'bagus']",22/01/2024 17:16,1
Kautsar Firmansyah,"['bagus', 'lancar']",25/01/2024 08:04,1
Ewek Alala Ewek,"['iya', 'suka']",15/01/2024 01:13,1
Kikijoss,['bagus'],30/01/2024 06:24,1
Phyn,"['aplikasi', 'lelet', 'iya', 'beli', 'paket', 'kuota', 'sulit']",23/01/2024 07:14,0
Rasyid Siregar,['bagus'],25/01/2024 06:56,0
Shinna 123,"['sesal', 'umur', 'pakai', 'kartu', 'indosat']",18/01/2024 12:38,0
Arief arfan,"['sinyal', 'bapukbngkrut', 'doang', 'smuanyg', 'pke', 'im3', 'susah', 'sinyal', 'paksa', 'pindah', 'simpati', 'sinyal', 'kencang']",20/01/2024 14:11,0
Minarni Mimi,"['bagus', 'sih', 'bagus', 'lelet', 'banget']",30/01/2024 10:45,1
Om dayat,"['mantab', 'joos']",13/01/2024 19:10,1
Jefri Afriansyah,"['kuota', 'mahal', 'jaring', 'hilang']",20/01/2024 22:56,0
Nur aji Setiawan,"['pingin', 'olih', 'geratisan']",13/01/2024 10:32,1
MUHAMMAD HUSAEN,"['kecewa', 'indosat']",20/01/2024 02:06,0
Eka Yudantara,['bagus'],26/01/2024 07:30,1
Deni Kiswoyo,"['jaring', 'tidak', 'stabilkuota', 'mahal']",29/01/2024 19:33,0
Amar Wadianto,"['jaring', 'tidak']",26/01/2024 13:50,0
Okta Viani,"['hebat', 'poin', 'nya', 'tukar', 'kouta']",18/01/2024 23:24,1
Gb Jkt,"['sdh', 'indosat', 'kosong', 'parah', 'hilang', 'connetion', 'cikarang', 'cibinong', 'tidak', 'jaringanindosat', 'jaring', 'perbaikiharga', 'kuota', 'sdh', 'jaring']",26/01/2024 13:49,0
Duwan Wowok,['tarik'],17/01/2024 11:22,1
Sinareng Fajrin,['bagus'],16/01/2024 15:29,1
su narti,"['my', 'm3', 'tidak', 'sinyal']",26/01/2024 14:46,0
MUHAMMAD ROIS,"['legs', 'koneksi']",28/01/2024 10:21,0
Ridho,"['sinyal', 'ampas', 'sampah']",16/01/2024 03:46,0
Hendro Jombang,"['kuota', 'gak', 'pakai', 'apa']",26/01/2024 13:10,0
geprek cah jogja,"['sinyal', 'hilang', 'lelet', 'main', 'ml', 'beli', '100gb', 'sisa', '57gb', 'hangus', 'lambat', 'poll', 'siasia', 'beli', 'data', 'gak', 'sudi', 'make', 'im3']",14/01/2024 07:16,0
Yovita Ita,"['ndk', 'guna', 'coba', 'nya', 'alpkasi', 'sini', 'suka', 'youtobe', 'yout', 'ayat', 'ayat', 'alquran', 'rukyah']",10/01/2024 08:40,1
reza afdal dinilhak,"['jaring', 'lelet', 'semenjak', 'tanggal', '260124', 'leeeeeee', 'let']",28/01/2024 14:17,0
Aliakbar Sagala,"['jaring', 'nya', 'baik', 'mending', 'pakai', 'sim', 'kartu']",31/01/2024 12:22,0
Ulum Sabah,['siiip'],18/01/2024 06:58,1
fiqi satria ashadi,"['tidak', 'buka', 'seluler', 'opo', 'a5']",20/01/2024 13:38,0
GALDOWN KQJ,"['jaring', 'hilang2', 'hampir', 'jam', 'jam', 'tidak', 'tolerir', 'rugi', 'penggunaparahhh', 'promo', 'tidak', 'tidak', 'beli', 'alas', 'tidak', 'masuk', 'akal', 'ikut', 'prosedur', 'nya', 'tidak', 'prubahan', 'baik', 'cepat', 'rugi', 'guna']",26/01/2024 12:31,0
Brabai Bbar,"['sesal', 'beli', 'paket', 'mym3', 'jaring', 'nya', 'ganggu', 'melulu', 'pas', 'cek', 'paket', 'tidak', 'buka', 'aplikasi', 'nya', 'cek', 'paket']",26/01/2024 13:29,0
Abdul Hadi,"['60', 'gb', 'cmn', 'minggu', 'gila', 'x', 'pakai', 'wa', 'doang', '60', 'gb', 'cmn', 'minggu', 'hari', 'ganti', 'provider', 'mending']",10/01/2024 01:19,0
latifah rahma,"['baru', 'kecewa']",16/01/2024 13:31,0
Teddy setiadi,"['benerin', 'gak', 'fungsi', 'error', 'gak', 'error']",26/01/2024 13:25,0
